"card_name","scrape_date","cur_price","brand","shipping"
"GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF3-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card",2018-12-05 11:42:39,"499","GIGABYTE","Free"
"PNY GeForce RTX 2080 Ti 11GB XLR8 Gaming Overclocked Edition Graphics Card",2018-12-05 11:42:39,"1,349","PNY Technologies, Inc.","$4.99"
"GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TGAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card",2018-12-05 11:42:39,"379","GIGABYTE","Free"
"PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card",2018-12-05 11:42:39,"219","PowerColor","Free"
"GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card",2018-12-05 11:42:39,"159","GIGABYTE","Free"
"GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF3-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card",2018-12-05 11:42:39,"499","GIGABYTE","Free"
"GIGABYTE GeForce GTX 1070 8GB WINDFORCE OC, GV-N1070WF2OC-8GD R2",2018-12-05 11:42:39,"334","GIGABYTE","Free"
"EVGA GeForce RTX 2070 XC GAMING, 08G-P4-2172-KR, 8GB GDDR6, Dual HDB Fans & RGB LED",2018-12-05 11:42:39,"579","EVGA","Free"
"MSI Radeon RX 580 DirectX 12 Radeon RX 580 8G V1 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card",2018-12-05 11:42:39,"199","MSI","Free"
"MSI GeForce RTX 2080 GAMING X TRIO Video Card",2018-12-05 11:42:39,"849","MSI","Free"
"MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card",2018-12-05 11:42:39,"204","MSI","Free"
"PNY GeForce RTX 2070 8GB XLR8 Gaming Overclocked Edition Graphics Card, VCG20708DFPPB-O",2018-12-05 11:42:39,"599","PNY Technologies, Inc.","Free"
"PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC2 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card",2018-12-05 11:42:39,"229","PNY Technologies, Inc.","Free"
"GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070IXOC-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2018-12-05 11:42:39,"334","GIGABYTE","Free"
"XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card",2018-12-05 11:42:39,"249","XFX","Free"
"Sapphire 11256-57-21G Radeon RX 470 8GB GDDR5 Video Card Brown Box - OEM",2018-12-05 11:42:39,"129","Sapphire Tech","Free"
"GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-6GD 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2018-12-05 11:42:39,"269","GIGABYTE","Free"
"MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card",2018-12-05 11:42:39,"199","MSI","Free"
"MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card",2018-12-05 11:42:39,"189","MSI","Free"
"ASUS Turbo GeForce RTX 2080 DirectX 12 TURBO-RTX2080-8G 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card",2018-12-05 11:42:39,"839","ASUS","Free"
"MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING Z 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card",2018-12-05 11:42:39,"599","MSI","Free"
"MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card",2018-12-05 11:42:39,"189","MSI","Free"
"Zotac GeForce RTX 2080 Graphic Card - 1.91 GHz Boost Clock - 8 GB GDDR6 - Triple Slot Space Required",2018-12-05 11:42:39,"899","ZOTAC","Free"
"MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card",2018-12-05 11:42:39,"454","MSI","Free"
"GIGABYTE GeForce RTX 2080 GAMING OC 8G Video Card, GV-N2080GAMING OC-8GC",2018-12-05 11:42:39,"789","GIGABYTE","Free"
"GIGABYTE GeForce RTX 2080 DirectX 12 GV-N2080TURBO OC-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support Video Card",2018-12-05 11:42:39,"789","GIGABYTE","Free"
"PNY GeForce GTX 1060 DirectX 12 VCGGTX10606PB-SF 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card",2018-12-05 11:42:39,"229","PNY Technologies, Inc.","Free"
"GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2018-12-05 11:42:39,"199","GIGABYTE","Free"
"EVGA GeForce RTX 2080 XC ULTRA GAMING, 08G-P4-2183-KR, 8GB GDDR6, Dual HDB Fans & RGB LED",2018-12-05 11:42:39,"849","EVGA","Free"
"GIGABYTE GeForce RTX 2080 GAMING OC WHITE 8G Video Card, GV-N2080GAMINGOC WHITE-8GC",2018-12-05 11:42:39,"789","GIGABYTE","Free"
"MSI GeForce GTX 1070 DirectX 12 GTX 1070 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card",2018-12-05 11:42:39,"394","MSI","Free"
